,number,object,dateobs,refhour,airmass,pressure,temperature,humidity,filename,targetx_pix,targety_pix,rotangle,d2ccd,number2,chi2,pwv,oz,grey,epwv,eoz,egrey
31,510,HD185975,2023-01-18T06:30:46.745505756Z,1.4213549995175003,2.13833933158052,0,0,0,2023011700510,291.10163496115325,1760.9526773424957,0.44557710889970464,180.09377067009112,510,222.91927564928022,3.312240833033729,384.93170848192125,1.001849629892828,0.01181598269898529,1.5906369042141568,0.0002259175220791801
32,529,HD38666,2023-01-18T06:51:15.857490623Z,1.762774995313888,1.65024094507796,0,0,0,2023011700529,274.61765848638134,1761.7263937267912,0.37696325857326063,179.5809050766074,529,970.2360094037747,3.9522551092251526,416.9788072826051,1.008437635818029,0.011417497524303046,1.2333511771153174,0.0001591947649320164
33,547,HD185975,2023-01-18T07:02:41.812493500Z,1.9533180516686106,2.13039445537762,0,0,0,2023011700547,291.0144339232947,1760.0114984340235,0.44326150268302084,180.17304903568095,547,204.32239446674808,3.4215596908765176,344.9083031029886,1.0036236919506205,0.013429195557177146,1.774966073102671,0.00025403144052665107
34,548,HD185975,2023-01-18T07:03:24.634998973Z,1.9652131920777776,2.13017084609747,0,0,0,2023011700548,294.3275054379219,1757.2885364163512,0.44595936339310044,179.92254943729705,548,854.1661198586182,0.4868805357063189,549.9999999999999,0.8078998684158094,0.014273399951552862,6.557535706102095,0.0007222341027936743
35,556,HD111980,2023-01-18T07:09:06.811995437Z,2.0602623577622228,1.26334538308882,0,0,0,2023011700556,299.31916374488054,1732.9273754420005,0.27629160501562494,179.98230921399974,556,249.96133535966032,3.562040547602988,499.985608559837,1.070314960087399,0.015988894817611347,2.3764784582349465,0.0002208707829544802
36,557,HD111980,2023-01-18T07:09:49.720001389Z,2.0721812483044446,1.26075875200431,0,0,0,2023011700557,301.6316582199633,1733.9293436567643,0.2718466773907953,179.91415221416284,557,74.31758032824158,3.5157335898783892,526.3786597348845,1.063027292879685,0.02764654776433823,4.190242256360659,0.00038128671017637804
37,565,HD111980,2023-01-18T07:14:35.511501817Z,2.151567776201111,1.24399023473688,0,0,0,2023011700565,297.5044558977274,1741.8106268395197,0.2722000069783785,180.11453332025872,565,13.425638162452119,3.319081753141189,517.5069668370235,1.0633115901325476,0.06468451799720532,10.660450761574069,0.0009544318644784216
38,566,HD111980,2023-01-18T07:15:18.514006183Z,2.1635129163027775,1.24154422041426,0,0,0,2023011700566,299.33181657293056,1740.5099785323698,0.26842336950962997,179.99339008870783,566,42.143406118168514,3.302066519481358,529.7020912356951,1.075159609962361,0.035209101472697124,5.794696684586987,0.0005230398286877583
39,594,HD38666,2023-01-18T07:38:05.331495874Z,2.5431844412169444,2.13802181754829,0,0,0,2023011700594,297.5633571851893,1736.9178641180856,0.45758399436340547,180.24015806320807,594,623.0227743759634,4.169886310408286,356.1370512629862,0.9768455619617789,0.012197940562905947,1.1361239091452628,0.00018251660434028907
40,602,HD185975,2023-01-18T07:43:31.741996368Z,2.6338540246875,2.11574501847674,0,0,0,2023011700602,293.6751242745628,1758.9997869936774,0.43775429236273894,179.8027684564956,602,187.84937166355866,3.793937178024027,327.1914476931443,0.9882576774875437,0.01711988330271067,2.177263024943314,0.0003001180265344955
41,603,HD185975,2023-01-18T07:44:14.560507105Z,2.645748055447778,2.11543874834975,0,0,0,2023011700603,291.0584178045055,1757.3641479784528,0.4344910578482901,180.1502954956857,603,66.49190281808528,3.8869035961134286,348.859156708158,0.9967314080463942,0.024033138711049045,3.1213944882213527,0.00043353824181653183
42,611,HD38666,2023-01-18T07:49:45.220501102Z,2.737598053780278,2.31584582712887,0,0,0,2023011700611,299.1175845799418,1711.5346430522259,0.48363798410277536,180.3741983637721,611,2859.122644053158,3.9293288422657766,353.3811999815018,0.8465063146181737,0.005161570858148018,0.4671801071995923,7.153357550971528e-05
43,612,HD38666,2023-01-18T07:50:28.036497833Z,2.7494913862055546,2.32774809857906,0,0,0,2023011700612,296.5092921096794,1713.4586009507195,0.47739451533211763,180.1920812893648,612,1837.6774618144657,4.071677728172235,349.85323510950036,0.8328961819257453,0.007071202200149033,0.59854856919146,9.122540447294268e-05
44,620,HD38666,2023-01-18T07:55:14.036006744Z,2.828935694236389,2.41074040140391,0,0,0,2023011700620,296.5155992772382,1720.4505597436494,0.48707541119062103,180.03727168916402,620,2306.5431586648547,3.805638412244015,365.3668745546816,0.7663568770441329,0.005889321855372287,0.517370753952451,7.479392843005097e-05
45,621,HD38666,2023-01-18T07:55:56.895996429Z,2.8408412469266664,2.42371453887092,0,0,0,2023011700621,295.9380242008493,1720.1722150007074,0.4867570964673632,180.13900801106206,621,4939.42329900599,3.6177919524637083,345.5537310548487,0.7518232684790963,0.004709365723434636,0.4030235109258979,5.820567868772176e-05
46,664,HD111980,2023-01-18T08:33:26.052996025Z,3.4656070801477767,1.06688744065327,0,0,0,2023011700664,299.9113760128319,1741.0407549140914,0.21895220183351075,180.03521633770754,664,56.24341930345681,3.797941639108991,549.9999999999993,1.0786043361630564,0.03352660050796276,5.774372437928061,0.00044267392385768174
47,665,HD111980,2023-01-18T08:34:08.872004130Z,3.4775012490658335,1.06597004215867,0,0,0,2023011700665,303.33613142725847,1740.3461575069373,0.21769684113534624,179.96418113771824,665,113.77033821624939,4.029605610663872,549.9999999999999,1.0703240333059243,0.025590936747866413,3.9440378848778503,0.00030813590368399245
48,673,HD111980,2023-01-18T08:38:52.463007893Z,3.5562765278888886,1.06013446934914,0,0,0,2023011700673,294.0662220641677,1742.700082154484,0.21185335117818618,180.26640653252562,673,136.50326723930988,4.125934784705012,549.9999999998881,1.065607564202465,0.02160555272562146,3.485704654594796,0.00026500448738071434
49,674,HD111980,2023-01-18T08:39:35.285999078Z,3.568171803218056,1.05929262783485,0,0,0,2023011700674,296.50383022780255,1741.207325868799,0.21440203842141803,179.94486690799692,674,164.20338061067915,4.063812130885792,549.9999999999999,1.0673590170236726,0.021057760332288643,3.3592540764819923,0.00025716616084895137
50,691,HD185975,2023-01-18T08:51:06.095999658Z,3.7600634700458326,2.08219375484287,0,0,0,2023011700691,289.7695330314051,1773.549329001772,0.4463495422808494,180.0098194731673,691,97.64337550392051,3.629200953232395,384.12664214156877,1.011688559514562,0.019126504712510234,2.385151298960915,0.0003338992712852386
