idx,num,object,date_obs,airmass,temperature,pressure,humidity,reftime,eqw_h2o,eqw_h2o_2,eqw_h2o_3,eqw_o2,eqw_o2b,eqw_halpha,eqw_hbeta,eqw_hgamma,eqw_h2o_err,eqw_h2o_2_err,eqw_h2o_3_err,eqw_o2_err,eqw_o2b_err,eqw_halpha_err,eqw_hbeta_err,eqw_hgamma_err
34,00408,mu. Col,2022-03-18T02:47:35.769,1.573248011911855,8.0,743.45,64.0,1.937144444444444,118.9374460697976,12.404525502297826,18.371298991555093,30.53023858966522,10.086790454611195,4.049516282980619,1.7985311229912764,2.301199447715983,0.8675740021806201,0.13220635389437563,0.18360874228233062,0.07347747728382382,0.055828835709935944,0.060604336144928675,0.033767313392150465,0.0492242985857798
35,00414,mu. Col,2022-03-18T02:50:38.306,1.594345273370295,8.0,743.45,63.0,1.987849166666667,112.71323729952708,12.202074471834166,17.947059231485913,30.584152418541592,10.412934111932447,3.832726180278553,1.6372201811476184,2.85839831931023,0.8675740021806201,0.13220635389437563,0.18360874228233062,0.07347747728382382,0.055828835709935944,0.060604336144928675,0.033767313392150465,0.0492242985857798
36,00421,mu. Col,2022-03-18T03:08:41.573,1.73594131895663,7.7,743.5,63.0,2.2887566666666688,114.26732795362787,13.808899298469465,17.41776418737862,32.76366225927927,10.457052277950853,3.79407955196341,1.8992559698493363,3.310271750082978,0.8675740021806201,0.13220635389437563,0.18360874228233062,0.07347747728382382,0.055828835709935944,0.060604336144928675,0.033767313392150465,0.0492242985857798
37,00422,mu. Col,2022-03-18T03:09:14.484,1.740715384660955,7.7,743.5,63.0,2.297898611111113,115.70141021523978,14.6271490355397,18.382587350032995,33.75342032473265,10.617372469530649,3.9068550205291133,2.042957352152633,3.653783834084924,0.8675740021806201,0.13220635389437563,0.18360874228233062,0.07347747728382382,0.055828835709935944,0.060604336144928675,0.033767313392150465,0.0492242985857798
38,00428,HD185975,2022-03-18T03:12:54.310,2.129245852899135,7.8,743.5,62.0,2.358961388888889,116.01287918800477,20.13652179340118,16.591049768672477,39.44160833622936,8.216690212253523,1.2598661511195983,-1.7007511158323958,7.250537177580234,0.8675740021806201,0.13220635389437563,0.18360874228233062,0.07347747728382382,0.055828835709935944,0.060604336144928675,0.033767313392150465,0.0492242985857798
39,00429,HD185975,2022-03-18T03:13:27.208,2.1290679262036,7.8,743.5,62.0,2.368099722222224,81.89538047611222,7.796171288399849,11.50834321932278,24.517224481924917,3.295065695120721,-0.9133746631818211,-3.74150414011686,2.9668321372851234,0.8675740021806201,0.13220635389437563,0.18360874228233062,0.07347747728382382,0.055828835709935944,0.060604336144928675,0.033767313392150465,0.0492242985857798
40,00435,mu. Col,2022-03-18T03:17:06.794,1.81309435755974,7.7,743.45,63.0,2.4290958333333332,117.88868834926285,13.65996172312955,18.614749452835284,33.75478208399598,10.275043264836581,3.798182674707515,1.6657136825718886,2.9181938289890716,0.8675740021806201,0.13220635389437563,0.18360874228233062,0.07347747728382382,0.055828835709935944,0.060604336144928675,0.033767313392150465,0.0492242985857798
41,00436,mu. Col,2022-03-18T03:17:39.779,1.818418067455135,7.7,743.4,63.0,2.4382583333333336,110.90287477694447,14.668435726824203,18.627744292060754,34.515240297561895,10.914815643685007,3.779065247008167,1.8397853587940043,3.3000314794808507,0.8675740021806201,0.13220635389437563,0.18360874228233062,0.07347747728382382,0.055828835709935944,0.060604336144928675,0.033767313392150465,0.0492242985857798
42,00442,mu. Col,2022-03-18T03:21:26.873,1.856070090955285,7.8,743.4,62.0,2.50134,100.17128515599691,15.116485112274463,18.666135367023198,34.91443197850738,11.412750089187544,3.895759968414594,1.8944819285573429,3.523917869934835,0.8675740021806201,0.13220635389437563,0.18360874228233062,0.07347747728382382,0.055828835709935944,0.060604336144928675,0.033767313392150465,0.0492242985857798
43,00443,mu. Col,2022-03-18T03:21:59.878,1.861691550345225,7.7,743.45,63.0,2.5105080555555572,111.6583059620801,15.509236175794511,19.43627400278164,35.47459923283206,11.424206914854103,3.727267049491427,1.9777277745154103,3.836778541734415,0.8675740021806201,0.13220635389437563,0.18360874228233062,0.07347747728382382,0.055828835709935944,0.060604336144928675,0.033767313392150465,0.0492242985857798
